Species name,Family,Major group
Photinia integrifolia var. flavidiflora,,Angiosperm
Photinia integrifolia var. integrifolia,,Angiosperm
Photinia komarovii,,Angiosperm
Photinia kwangsiensis,,Angiosperm
Photinia lanuginosa,,Angiosperm
Photinia lasiogyna,,Angiosperm
Photinia lasiogyna var. glabrescens,,Angiosperm
Photinia lasiogyna var. lasiogyna,,Angiosperm
Photinia lochengensis,,Angiosperm
Photinia loriformis,,Angiosperm
Photinia lucida,,Angiosperm
Photinia megaphylla,,Angiosperm
Photinia obliqua,,Angiosperm
Photinia parvifolia,,Angiosperm
Photinia parvifolia var. parvifolia,,Angiosperm
Photinia parvifolia var. subparvifolia,,Angiosperm
Photinia pilosicalyx,,Angiosperm
Photinia podocarpifolia,,Angiosperm
Photinia prionophylla,,Angiosperm
Photinia prionophylla var. nudifolia,,Angiosperm
Photinia prionophylla var. prionophylla,,Angiosperm
Photinia prunifolia,,Angiosperm
Photinia prunifolia var. denticulata,,Angiosperm
Photinia prunifolia var. prunifolia,,Angiosperm
Photinia raupingensis,,Angiosperm
Photinia schneideriana,,Angiosperm
Photinia schneideriana var. parviflora,,Angiosperm
Photinia schneideriana var. schneideriana,,Angiosperm
Photinia serratifolia,,Angiosperm
Photinia serratifolia var. ardisiifolia,,Angiosperm
Photinia serratifolia var. daphniphylloides,,Angiosperm
Photinia serratifolia var. lasiopetala,,Angiosperm
Photinia serratifolia var. serratifolia,,Angiosperm
Photinia sorbifolia,,Angiosperm
Photinia stenophylla,,Angiosperm
Photinia taishunensis,,Angiosperm
Photinia tsaii,,Angiosperm
Photinia tushanensis,,Angiosperm
Photinia villosa,,Angiosperm
Photinia villosa var. glabricalycina,,Angiosperm
Photinia villosa var. sinica,,Angiosperm
Photinia villosa var. villosa,,Angiosperm
Photinia zhejiangensis,,Angiosperm
Prunus cerasifera,,Angiosperm
Prunus domestica,,Angiosperm
Prunus gongshanensis,,Angiosperm
Prunus hainanensis,,Angiosperm
Prunus himalayana,,Angiosperm
Prunus hypoleuca,,Angiosperm
Prunus hypoxantha,,Angiosperm
Prunus insititia,,Angiosperm
Prunus salicina,,Angiosperm
Prunus salicina var. pubipes,,Angiosperm
Prunus salicina var. salicina,,Angiosperm
Prunus simonii,,Angiosperm
Prunus spinosa,,Angiosperm
Prunus ussuriensis,,Angiosperm
Pyrus armeniacifolia,,Angiosperm
Pyrus betulifolia,,Angiosperm
Pyrus bretschneideri,,Angiosperm
Pyrus calleryana,,Angiosperm
Pyrus calleryana var. calleryana,,Angiosperm
Pyrus calleryana var. integrifolia,,Angiosperm
Pyrus calleryana var. koehnei,,Angiosperm
Pyrus calleryana var. lanceata,,Angiosperm
Pyrus communis var. sativa,,Angiosperm
Pyrus hopeiensis,,Angiosperm
Pyrus pashia,,Angiosperm
Pyrus pashia var. grandiflora,,Angiosperm
Pyrus pashia var. kumaoni,,Angiosperm
Pyrus pashia var. obtusata,,Angiosperm
Pyrus pashia var. pashia,,Angiosperm
Pyrus phaeocarpa,,Angiosperm
Pyrus pseudopashia,,Angiosperm
Pyrus pyrifolia,,Angiosperm
Pyrus serrulata,,Angiosperm
Pyrus sinkiangensis,,Angiosperm
Pyrus ussuriensis,,Angiosperm
Pyrus xerophila,,Angiosperm
Rosa acicularis,,Angiosperm
Rosa albertii,,Angiosperm
Rosa anemoniflora,,Angiosperm
Rosa baiyushanensis,,Angiosperm
Rosa banksiae,,Angiosperm
Rosa banksiae var. banksiae,,Angiosperm
Rosa banksiae var. normalis,,Angiosperm
Rosa banksiopsis,,Angiosperm
Rosa beggeriana,,Angiosperm
Rosa beggeriana var. beggeriana,,Angiosperm
Rosa beggeriana var. lioui,,Angiosperm
Rosa bella,,Angiosperm
Rosa bella var. bella,,Angiosperm
Rosa bella var. nuda,,Angiosperm
Rosa berberifolia,,Angiosperm
Rosa bracteata,,Angiosperm
Rosa bracteata var. bracteata,,Angiosperm
Rosa bracteata var. scabriacaulis,,Angiosperm
Rosa brunonii,,Angiosperm
Rosa calyptopoda,,Angiosperm
Rosa caudata,,Angiosperm
Rosa caudata var. caudata,,Angiosperm
Rosa caudata var. maxima,,Angiosperm
Rosa chengkouensis,,Angiosperm
Rosa chinensis,,Angiosperm
Rosa chinensis var. chinensis,,Angiosperm
Rosa chinensis var. semperflorens,,Angiosperm
Rosa chinensis var. spontanea,,Angiosperm
Rosa corymbulosa,,Angiosperm
Rosa cymosa,,Angiosperm
Rosa cymosa var. cymosa,,Angiosperm
Rosa cymosa var. dapanshanensis,,Angiosperm
Rosa cymosa var. puberula,,Angiosperm
Rosa daishanensis,,Angiosperm
Rosa davidii,,Angiosperm
Rosa davidii var. davidii,,Angiosperm
Rosa davidii var. elongata,,Angiosperm
Rosa davurica,,Angiosperm
Rosa davurica var. davurica,,Angiosperm
Rosa davurica var. glabra,,Angiosperm
Rosa davurica var. setacea,,Angiosperm
Rosa deqenensis,,Angiosperm
Rosa derongensis,,Angiosperm
Rosa duplicata,,Angiosperm
Rosa fargesiana,,Angiosperm
Rosa farreri,,Angiosperm
Rosa fedtschenkoana,,Angiosperm
Rosa filipes,,Angiosperm
Rosa foetida var. persiana,,Angiosperm
Rosa forrestiana,,Angiosperm
Rosa giraldii,,Angiosperm
Rosa giraldii var. bidentata,,Angiosperm
Rosa giraldii var. giraldii,,Angiosperm
Rosa giraldii var. venulosa,,Angiosperm
Rosa glomerata,,Angiosperm
Rosa graciliflora,,Angiosperm
Rosa helenae,,Angiosperm
Rosa henryi,,Angiosperm
