Species name,Genus,Major group
Astragalus golmunensis,Astragalus,Angiosperm
Astragalus gongliuensis,Astragalus,Angiosperm
Astragalus gongshanensis,Astragalus,Angiosperm
Astragalus gontscharovii,Astragalus,Angiosperm
Astragalus gracilidentatus,Astragalus,Angiosperm
Astragalus gracilipes,Astragalus,Angiosperm
Astragalus graveolens,Astragalus,Angiosperm
Astragalus gregorii,Astragalus,Angiosperm
Astragalus grubovii,Astragalus,Angiosperm
Astragalus grum-grshimailoi,Astragalus,Angiosperm
Astragalus guinanicus,Astragalus,Angiosperm
Astragalus habaheensis,Astragalus,Angiosperm
Astragalus habamontis,Astragalus,Angiosperm
Astragalus haiyuanensis,Astragalus,Angiosperm
Astragalus hamiensis,Astragalus,Angiosperm
Astragalus hancockii,Astragalus,Angiosperm
Astragalus handelii,Astragalus,Angiosperm
Astragalus havianus,Astragalus,Angiosperm
Astragalus hebecarpus,Astragalus,Angiosperm
Astragalus henryi,Astragalus,Angiosperm
Astragalus heptapotamicus,Astragalus,Angiosperm
Astragalus hesiensis,Astragalus,Angiosperm
Astragalus heterodontus,Astragalus,Angiosperm
Astragalus hoantchy,Astragalus,Angiosperm
Astragalus hoffmeisteri,Astragalus,Angiosperm
Astragalus hoshanbaoensis,Astragalus,Angiosperm
Astragalus hotianensis,Astragalus,Angiosperm
Astragalus hsinbaticus,Astragalus,Angiosperm
Astragalus huiningensis,Astragalus,Angiosperm
Astragalus huochengensis,Astragalus,Angiosperm
Astragalus hypogaeus,Astragalus,Angiosperm
Astragalus hysophilus,Astragalus,Angiosperm
Astragalus iliensis,Astragalus,Angiosperm
Astragalus jiazaensis,Astragalus,Angiosperm
Astragalus jiuquanensis,Astragalus,Angiosperm
Astragalus junatovii,Astragalus,Angiosperm
Astragalus karkarensis,Astragalus,Angiosperm
Astragalus kasachstanicus,Astragalus,Angiosperm
Astragalus kessleri,Astragalus,Angiosperm
Astragalus khasianus,Astragalus,Angiosperm
Astragalus kialensis,Astragalus,Angiosperm
Astragalus kifonsanicus,Astragalus,Angiosperm
Astragalus kongrensis,Astragalus,Angiosperm
Astragalus kukunoricus,Astragalus,Angiosperm
Astragalus kuldshensis,Astragalus,Angiosperm
Astragalus kunlunensis,Astragalus,Angiosperm
Astragalus kurtschumensis,Astragalus,Angiosperm
Astragalus kuschakewiczii,Astragalus,Angiosperm
Astragalus laceratus,Astragalus,Angiosperm
Astragalus laetabilis,Astragalus,Angiosperm
Astragalus laguroides,Astragalus,Angiosperm
Astragalus lamalaensis,Astragalus,Angiosperm
Astragalus lang-ranii,Astragalus,Angiosperm
Astragalus lanuginosus,Astragalus,Angiosperm
Astragalus lanzhouensis,Astragalus,Angiosperm
Astragalus lasiopetalus,Astragalus,Angiosperm
Astragalus lasiosemius,Astragalus,Angiosperm
Astragalus laspurensis,Astragalus,Angiosperm
Astragalus latiunguiculatus,Astragalus,Angiosperm
Astragalus laxmannii,Astragalus,Angiosperm
Astragalus leansanicus,Astragalus,Angiosperm
